"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"344.","1694","Лесковац","Јабланички управни округ","Власотинце","Власотинце","Гимназија Стеван Јаковљевић","М. Михајловића бб","16210","gimnazija@medianis.net","(016)875152","http://nema.com","7351704","101937031","1962-07-23","Гимназије","Државно","14","0","0","339","194","1","0","0","38","25.747600","50","37.247600"
"345.","1695","Лесковац","Јабланички управни округ","Власотинце","Власотинце","Техничка школа","Михајла Михајловића бб","16210","tsvlasotince@gmail.com","(016)875125","http://www.tsvlasotince.edu.rs","7351712","101937023","1956-11-08","Средње стручне школе","Државно","24","2","0","586","241","1","3","0","72","52.209100","91","70.704000"
"346.","1696","Лесковац","Јабланички управни округ","Медвеђа","Медвеђа","Техничка школа Никола Тесла","Николе Тесле 1","16240","ssniktesmed1@ptt.rs","(016)891028","http://nikolateslamedvedja.weebly.com","7138458","101464565","1964-08-20","Средње стручне школе","Државно","15","0","0","186","84","0","0","0","40","24.811900","51","37.111900"
"347.","1697","Лесковац","Јабланички управни округ","Лебане","Лебане","Гимназија","Цара Душана 78","16230","gimnazija.lebane@gmail.com","(016)843311","http://www.gimnazija.lebane.edu.rs","7355114","100529036","1969-02-17","Гимназије","Државно","10","0","0","226","124","0","0","0","35","18.618900","49","31.618900"
"348.","1698","Лесковац","Јабланички управни округ","Лебане","Лебане","Средња техничка школа Вожд Карађорђе","Цара Душана 78","16230","vozdlebane@yahoo.com","(016)843205","http://www.stslebane.edu.rs","7355122","100529052","1947-09-01","Средње стручне школе","Државно","15","1","0","387","148","0","0","0","59","33.337000","75","48.423700"
"349.","1699","Лесковац","Јабланички управни округ","Бојник","Бојник","Техничка школа Бошко Крстић","Стојана Љубића 2","16205","info@tesbo.edu.rs","(016)821162","http://www.tesbo.edu.rs","7283342","100371310","1979-09-01","Средње стручне школе","Државно","12","0","0","253","137","5","1","0","41","25.284400","55","39.784400"
"350.","1700","Лесковац","Јабланички управни округ","Црна Трава","Црна Трава","Техничка школа са домом ученика Милентије Поповић","Милентија Поповића бб","16215","ssmilpopcrt1@gmail.com","(016)811114","http://www.tehnickaskolacrnatrava.nasaskola.rs","7196849","101064817","1919-09-15","Средње стручне школе","Државно","7","0","0","103","34","0","0","0","25","13.705500","46","35.705500"
"351.","1701","Лесковац","Пчињски управни округ","Врање","Врање","Гимназија Бора Станковић","Партизанска 12","17500","vrgimnazija@gmail.com","(017)431992","http://www.vranjskagimnazija.edu.rs","7138946","100403298","1965-07-02","Гимназије","Државно","25","0","0","743","443","1","0","0","66","47.233500","84","66.733500"
"352.","1702","Лесковац","Пчињски управни округ","Врање","Врање","Економско-трговинска школа","Есперанто бб","17501","etsvranje@yahoo.com","(017)422766","http://www.ekonomskavranje.edu.rs","7205856","100553262","1955-07-05","Средње стручне школе","Државно","28","3","0","859","491","4","3","0","86","63.455700","102","80.955700"
"353.","1703","Лесковац","Пчињски управни округ","Врање","Врање","Медицинска школа Др Изабел Емсли Хатон","Моше Пијаде бб","17500","medicinskavr@gmail.com","(017)405035","http://medicinskavranje.edu.rs","17289080","100553676","2000-05-17","Средње стручне школе","Државно","16","0","0","500","359","0","0","0","55","34.468700","66","46.968700"
"354.","1704","Лесковац","Пчињски управни округ","Врање","Врање","Техничка школа","Булевар АВНОЈА 2","17500","tehnickaskolavr@mts.rs","(017)400645","http://www.tehnickaskolavranje.edu.rs","7138954","100549264","1965-09-01","Средње стручне школе","Државно","27","2","0","764","116","2","0","0","78","60.899400","91","76.379400"
"355.","1705","Лесковац","Пчињски управни округ","Врање","Врање","Хемијско-технолошка школа","Моше Пијаде бб","17500","direktorhts@gmail.com","(017)423630","http://www.hts-vranje.edu.rs","7346859","100552237","1986-05-30","Средње стручне школе","Државно","15","0","0","385","240","4","3","0","52","32.604700","66","46.604700"
"356.","1706","Лесковац","Пчињски управни округ","Врање","Врање","Средња пољопривредно-ветеринарска школа Стеван Синђелић","Браће Рибника бб","17500","poljvetskolavranje@mts.rs","(017)432812","http://www.poljvetskolavr.edu.rs","7412088","100406149","1990-06-29","Средње стручне школе","Државно","12","0","0","281","130","5","5","0","42","29.044400","55","42.594400"
"357.","1708","Лесковац","Пчињски управни округ","Бујановац","Бујановац","Стручна школа Свети Сава","Карађорђа Петровића 240","17520","svetisava@verat.net","(017)651057","http://www.ssssvetisavabujanovac.nasaskola.rs","7104324","100975778","1992-04-23","Средње стручне школе","Државно","19","2","0","406","206","0","2","0","60","42.424800","75","56.978100"
"358.","1709","Лесковац","Пчињски управни округ","Бујановац","Бујановац","Средња школа Сезаи Сурои","Миђени бб","17520","sezai_surroi@hotmail.com","(017)653826","http://www.sezaisurroi.com","7140053","102220705","1968-09-01","Средње стручне школе","Државно","38","2","0","969","422","17","2","0","97","74.222100","123","102.721100"
"359.","1710","Лесковац","Пчињски управни округ","Владичин Хан","Владичин Хан","Гимназија Јован Скерлић","Моше Пијаде 21","17510","gimnazijajsker-vlhan@mts.rs","(017)474826","http://www.gimnazijahan.com","7138342","100925199","1964-04-18","Гимназије","Државно","9","0","0","224","145","0","0","0","25","16.319500","44","34.007200"
"360.","1711","Лесковац","Пчињски управни округ","Владичин Хан","Владичин Хан","Техничка школа","Моше Пијаде 21","17510","tehnickahan@ptt.rs","(017)473900","http://www.tehnickahan.edu.rs","7573944","100925203","1990-06-07","Средње стручне школе","Државно","16","1","0","406","93","7","0","0","59","33.392500","77","51.892500"
"361.","1712","Лесковац","Пчињски управни округ","Сурдулица","Сурдулица","Гимназија Светозар Марковић","Сурдуличких мученика бб","17530","gimnazijasm-surd@mts.rs","(017)812870","http://www.gimnazija-surdulica.edu.rs","7573537","100951306","1990-09-03","Гимназије","Државно","6","0","0","134","83","0","0","0","20","10.717000","28","17.717000"
"362.","1713","Лесковац","Пчињски управни округ","Сурдулица","Сурдулица","Техничка школа Никола Тесла","Томе Ивановића 24","17530","nteslasurd@mts.rs","(017)814119","http://www.nteslasurd.edu.rs","7180608","100951752","1924-08-24","Средње стручне школе","Државно","16","0","0","433","163","0","0","0","47","35.827300","62","52.407300"
"363.","1714","Лесковац","Пчињски управни округ","Сурдулица","Сурдулица","Пољопривредно-шумарска школа Јосиф Панчић","Сурдуличких мученика бб","17530","jpancic@ptt.rs","(017)815051","http://www.skolapancic.edu.rs","7180594","100951291","1957-09-01","Средње стручне школе","Државно","11","0","0","227","100","0","1","0","49","27.235000","65","44.225000"
"364.","1715","Лесковац","Пчињски управни округ","Босилеград","Босилеград","Гимназија","Георги Димитров 23","17540","gimnbosil@ptt.rs","(017)877360","http://www.sajt.com","7207760","100610497","1941-11-05","Гимназије","Државно","12","0","0","213","107","0","1","0","30","25.010900","38","33.210900"
"365.","1716","Лесковац","Пчињски управни округ","Прешево","Прешево","Гимназија Скендербеу","15. новембра 102","17523","skenderbeup@gmail.com","(017)668655","http://www.gjimnaziskenderbeu.eu/","7179324","100953002","1990-08-01","Гимназије","Државно","31","0","0","818","495","0","0","0","86","58.460700","103","75.960700"
"366.","1717","Лесковац","Пчињски управни округ","Прешево","Прешево","Средња техничка школа Прешево","15. новембра 102","17523","shmtpr@hotmail.com","(017)669130","http://www.presheva.edu.rs","7585527","100953019","1990-07-10","Средње стручне школе","Државно","36","5","0","946","337","0","0","0","119","88.312900","143","113.812900"
"367.","1718","Лесковац","Пчињски управни округ","Трговиште","Трговиште","Средња стручна школа Милутин Бојић","15. септембар бб","17525","skolausmobr-trg@mts.rs","(017)452104","http://sssetmb.nasaskola.rs","7284314","101465791","1979-09-01","Средње стручне школе","Државно","4","0","0","80","44","0","4","0","15","7.266700","20","12.600000"
"368.","1721","Ниш","Топлички управни округ","Прокупље","Прокупље","Медицинска школа Др. Алекса Савић","Ратка Павловића 20","18400","medicskola@mts.rs","(027)329093","http://medicinskapk.edu.rs","7600739","100413574","1960-03-22","Средње стручне школе","Државно","16","0","0","487","357","0","0","0","65","42.144300","77","56.644300"
"369.","1722","Ниш","Топлички управни округ","Прокупље","Прокупље","Техничка школа 15.мај","Ратка Павловића 194","18400","ts15maj@mts.rs","329252","http://www.ts15maj.edu.rs","7271310","102133314","1964-03-30","Средње стручне школе","Државно","24","3","0","654","162","0","0","0","74","53.683700","92","71.661300"
"370.","1723","Ниш","Топлички управни округ","Прокупље","Прокупље","Пољопривредна школа Радош Јовановић Сеља","Вука Караџића 1","18400","poljopskolapk@gmail.com","(027)331213","http://poljoprivrednaskolapk.edu.rs","7271328","100257535","1927-08-03","Средње стручне школе","Државно","17","0","0","425","207","3","6","0","54","41.320900","75","62.860900"
"371.","1726","Ниш","Нишавски управни округ","Алексинац","Алексинац","Алексиначка гимназија","др Тихомира Ђорђевића бб","18220","alexgim@mts.rs","(018)804832","http://alexgim.rs","7106947","100304490","1865-06-09","Гимназије","Државно","16","0","0","363","209","1","0","0","41","29.588900","54","43.988900"
"372.","1727","Ниш","Нишавски управни округ","Алексинац","Алексинац","Техничка школа Прота Стеван Димитријевић","др Тихомира Ђорђевића бб","18220","tehskolaal@mts.rs","(018)800068","http://tehskolaal.edu.rs","7106912","100303430","1965-12-22","Средње стручне школе","Државно","23","3","0","674","254","1","0","0","72","51.505600","94","75.505600"
"373.","1728","Ниш","Нишавски управни округ","Алексинац","Алексинац","Пољопривредна школа Шуматовац","Тихомира Ђорђевића бб","18220","polskol@medianis.net","(018)800792","http://www.sumatovac.edu.rs","7600780","100303067","1990-06-15","Средње стручне школе","Државно","11","4","0","227","106","3","2","0","37","26.894500","50","39.894500"
"374.","1729","Ниш","Нишавски управни округ","Сврљиг","Сврљиг","Стручна школа Душан Тривунац Драгош","Гордане Тодоровић 2","18360","ssdtd@mts.rs","18821010","http://www.ssdtd.edu.rs","7339941","101007948","1985-04-25","Средње стручне школе","Државно","12","0","0","223","80","0","1","0","40","21.536700","50","33.606700"
"375.","1730","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Прва нишка гимназија Стеван Сремац","Вожда Карађорђа 27","18000","ssremac@medianis.net","(018)527622","http://www.sremac.edu.rs","7174659","101532998","1878-09-27","Гимназије","Државно","24","0","4","676","431","0","0","0","66","51.899900","79","65.399900"
"376.","1731","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Гимназија Бора Станковић","Вожда Карађорђа 27","18100","gimnazija@borastankovic.edu.rs","(018)522044","http://www.borastankovic.edu.rs","7174667","101858198","1969-06-17","Гимназије","Државно","26","0","3","747","393","0","1","0","64","48.249200","77","61.749200"
"377.","1732","Ниш","Нишавски управни округ","Ниш - Палилула","Ниш (Палилула)","Гимназија Светозар Марковић","Бранка Радичевића 1","18106","gsm-nis@mts.rs","(018)254396","http://www.gsm-nis.edu.rs","7215312","100665453","1991-04-08","Гимназије","Државно","38","4","0","985","547","0","0","0","121","75.400600","139","96.900600"
"378.","1733","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Гимназија Девети мај","Јеронимова 18","18100","gim9maj@sbb.rs","(018)257088","http://www.9maj.edu.rs","7282516","100334116","1979-07-01","Гимназије","Државно","24","0","0","710","404","0","0","0","62","45.577600","74","58.077600"
"379.","1734","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Економска школа","Мајаковског 2","18000","ekosknis@mts.rs","(018)237976","http://www.esn.edu.rs","7222149","100619576","1929-05-23","Средње стручне школе","Државно","40","0","0","1068","711","0","0","0","102","76.144300","131","105.111000"
"380.","1735","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Правно-пословна школа","Трг краља Милана 8","18100","abskola@mts.rs","(018)526957","http://abskolanis.blogspot.com","17008951","100502172","1994-10-28","Средње стручне школе","Државно","24","0","0","717","451","0","0","0","66","50.309600","81","65.809600"
"381.","1736","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Трговинска школа","Мајаковског 2","18000","trgovinskaskolanis@yahoo.com","(018)235392","http://trgovinskaskolanis.edu.rs/","7222122","101533097","1893-05-06","Средње стручне школе","Државно","16","0","0","350","202","0","0","0","60","36.396900","76","53.396900"
"382.","1737","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Угоститељско-туристичка школа","Мајаковског 2","18000","ugturs@medianis.net","(018)233830","http://utsnis.edu.rs","7222114","100619584","1991-08-15","Средње стручне школе","Државно","24","3","0","669","309","4","5","0","77","58.057200","95","77.707200"
"383.","1738","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Медицинска школа Др Миленко Хаџић","Зетска 55","18000","medicinskaskolanis@mts.rs","(018)530508","http://www.medicinskanis.edu.rs","7216106","102141648","1947-11-27","Средње стручне школе","Државно","32","0","0","997","766","0","1","0","90","73.533400","110","95.833400"
"384.","1741","Ниш","Нишавски управни округ","Ниш - Палилула","Ниш (Палилула)","Машинска школа","Шумадијска 1a","18000","masinskaskolanis@gmail.com","(018)4263100","http://www.masinskanis.com","7214596","100662856","1923-09-01","Средње стручне школе","Државно","19","2","3","367","115","0","15","0","48","38.221500","68","55.521500"
"385.","1742","Ниш","Нишавски управни округ","Ниш - Црвени Крст","Ниш (Црвени Крст)","Електротехничка школа Никола Тесла","Александра Медведева 18","18000","etstesla@etstesla.ni.ac.rs","(018)588583","http://www.etstesla.ni.ac.rs","7274360","101859168","1989-06-02","Средње стручне школе","Државно","30","1","0","841","56","1","0","0","87","72.835600","111","96.585600"
"386.","1743","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Електротехничка школа Мија Станимировић","Булевар Цара Константина 82-86","18116","etsms@medianis.net","(018)550022","http://www.etsmijastanimirovic.edu.rs","7274351","100502324","1949-08-01","Средње стручне школе","Државно","28","0","0","788","70","0","0","0","90","71.368800","107","89.602100"
"387.","1744","Ниш","Нишавски управни округ","Ниш - Црвени Крст","Ниш (Црвени Крст)","Грађевинска техничка школа Неимар","Београдска 18","18000","gtsneimar@gmail.com","(018)251063","http://www.gtsneimar.edu.rs","7174675","101859125","1939-09-25","Средње стручне школе","Државно","16","1","0","374","136","0","0","0","52","36.722100","69","56.222100"
"388.","1745","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Прехрамбено-хемијска школа","Генерала Милојка Лешјанина 23","18100","skola@phsnis.edu.rs","(018)245645","http://www.phsnis.edu.rs","7288476","100666403","1935-09-01","Средње стручне школе","Државно","22","3","0","498","281","6","4","0","72","52.899800","86","67.259800"
"389.","1746","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Школа моде и лепоте","Генерала Милојка Лешјанина 23","18000","skolamode@gmail.com","(018)255477","http://www.skolamodeilepote.com","7288484","101532504","","Средње стручне школе","Државно","17","6","0","377","318","3","18","0","69","42.447700","84","57.947700"
"390.","1747","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Уметничка школа","Првомајска 6","18100","umetnickas.nis@gmail.com","(018)523543","http://www.umetnickaskolanis.com","7174632","101524221","1948-08-25","Средње стручне школе","Државно","16","0","0","314","233","1","1","0","59","41.200100","71","55.570100"
"391.","1749","Косовска Митровица","Косовски управни округ","Приштина - град","Лапље Село","Гимназија","Мирјана Драговић б.б","38204","gimnazijapristinals@yahoo.com","(038)3881628","http://gimnazijapristina.edu.rs","9018328","100055446","1913-10-17","Гимназије","Државно","8","0","0","146","82","0","0","0","28","17.633900","37","24.133900"
"392.","1751","Косовска Митровица","Косовски управни округ","Приштина - град","Грачаница","Медицинска школа","Краља Милутина бб.","38100","medicinska.skola.gr@gmail.com","3865220","http://medicinska.skola.gr","9018310","100055850","1962-05-31","Средње стручне школе","Државно","16","0","0","324","231","0","0","0","84","52.067000","106","74.567000"
"393.","1752","Косовска Митровица","Косовски управни округ","Приштина - град","Грачаница","Грађевинско-саобраћајна школа","Грачаница б.б","38205","gss.gracanica@gmail.com","3865292","http://www.sajt.com","9018301","101464055","1963-03-25","Средње стручне школе","Државно","11","0","0","138","11","0","1","0","43","30.536900","61","49.536900"
"394.","1753","Косовска Митровица","Косовски управни округ","Приштина - град","Сушица","Електротехничка школа Михајло Пупин","Патријарха Павла бб","38205","ets.miladinpopovic@gmail.com","3865350","http://www.ets.ed.rs","9034692","100055817","2000-01-27","Средње стручне школе","Државно","10","0","0","129","8","0","1","0","49","31.416100","65","47.916100"
"395.","1754","Косовска Митровица","Косовски управни округ","Приштина - град","Преоце","Машинска школа - Приштина","Мирољуба Танасковића - Преоце bb","38204","masinskaskolapre@hotmail.com","(381)3881119","http://www.masinskaskolapr.net","9029141","100055727","1968-09-01","Средње стручне школе","Државно","5","0","0","31","3","0","0","0","26","10.868100","39","21.368100"
"396.","1756","Косовска Митровица","Косовско-митровачки управни округ","Вучитрн","Прилужје","Техничка школа Никола Тесла","Милош Обилића б.б.","38213","tsntobilic@yahoo.com","(028)467556","http://www.tehnickaskolaobilic.com","9018344","101262530","1956-09-01","Средње стручне школе","Државно","10","4","0","97","17","0","0","0","34","19.522100","43","29.522100"
"397.","1760","Косовска Митровица","Косовски управни округ","Липљан","Доња Гуштерица","Пољопривредна школа","Радевачка бб","38232","poljoprivredna.lipljan@gmail.com","3889485","http://","9210903","101262749","1962-10-14","Средње стручне школе","Државно","21","0","0","111","37","0","0","0","75","44.924800","102","68.924800"
"398.","1761","Косовска Митровица","Косовски управни округ","Штрпце","Штрпце","Економско-трговинска школа","Цара Лазара бб","38236","etsjovancvijicsostrpce@gmail.com","(002)9070191","http://www.opstinastrpce","9073728","100056012","1990-10-02","Средње стручне школе","Државно","28","0","0","425","187","0","0","0","101","70.694700","144","102.194700"
"399.","1762","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Гимназија","Лоле Рибара 29","38220","gimkm@yahoo.com","(028)425334","http://www.gimnazijakm.edu.rs","9028919","101261686","1989-09-01","Гимназије","Државно","13","0","0","253","138","0","0","0","43","27.561100","55","40.061100"
"400.","1763","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Економско-трговинска школа","Иве Лоле Рибара 27","38220","ekonomska_km@yahoo.com","(028)425335","http://ekonomskakm.edu.rs","9023704","102537406","1994-06-06","Средње стручне школе","Државно","15","0","0","166","96","0","0","0","47","34.174400","58","47.174400"
"401.","1764","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Медицинска школа","Дрварска 1","38220","medskolakm@yahoo.com","(028)498395","http://www.sajt.com","9023674","101465654","1947-09-15","Средње стручне школе","Државно","20","0","0","527","359","0","0","0","92","70.798300","127","106.298300"
"402.","1765","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Техничка школа Михаило Петровић Алас","Лоле Рибара 29","38220","tsalaskm@yahoo.com","(028)425333","http://tsalaskm.com","9023712","101981812","1946-07-31","Средње стручне школе","Државно","21","1","0","275","19","0","0","0","57","52.980700","78","74.360700"
"403.","1767","Косовска Митровица","Косовско-митровачки управни округ","Звечан","Звечан","Средња школа","Нушићева 7","38227","ss_graf_zvecan@yahoo.com","(028)664064","http://ss-graf-zvecan.edu.yu","9052780","100018013","1989-05-15","Средње стручне школе","Државно","14","0","0","225","139","1","1","0","42","30.214200","59","46.214200"
"404.","1768","Косовска Митровица","Косовско-митровачки управни округ","Лепосавић","Лепосавић","Средња школа Никола Тесла","Немањина 29а","38218","tsnikolateslaleposavic@hotmail.com","2883562","http://www.ssnikolateslaleposavic.edu.rs","9021388","101262351","1962-05-16","Средње стручне школе","Државно","20","0","0","312","112","2","0","0","61","47.119500","80","67.219500"
"405.","1769","Косовска Митровица","Косовско-митровачки управни округ","Зубин Поток","Зубин Поток","Средња школа Григорије Божовић","Јелене Анжујске 17","38228","ssgrigorijebozoviczp@nasaskola.rs","(028)460108","http://www.ssgrigorijebozovic.nasaskola.rs","9047689","101526563","1987-08-12","Средње стручне школе","Државно","17","0","0","234","114","0","0","0","52","37.357000","69","54.857000"
"406.","1770","Ранилуг","Косовско-поморавски управни округ","Гњилане","Шилово","Гимназија","Шилово бб","38252","gimnazija.stojanovic@gmail.com","(0280)310115","http://www.sajt.com","9003436","100055366","1919-04-01","Гимназије","Државно","12","0","0","153","68","0","0","0","52","27.579900","67","40.079900"
"407.","1771","Ранилуг","Косовско-поморавски управни округ","Гњилане","Горње Кусце","Техничка школа Драги Поповић","Горње Кусце б.б","38250","tsdragipopovic@yahoo.com","28077206","http://bisnode.rs tehnicka-skola dragi-popovic","9003444","100055358","","Средње стручне школе","Државно","14","0","0","108","22","0","0","0","62","32.248200","88","54.123200"
"408.","1772","Ранилуг","Косовско-поморавски управни округ","Косовска Каменица","Косовска Каменица","Гимназија","Цара Лазара бб","38260","gimnazijakk@gmail.com","(0280)372499","http://WWW.nema","9233881","100018361","2016-08-30","Гимназије","Државно","12","0","0","100","57","0","0","0","39","24.616000","51","36.276000"
"409.","1773","Ранилуг","Косовско-поморавски управни округ","Косовска Каменица","Косовска Каменица","Техничка школа","Цара Лазара бб","38260","tehskola@yahoo.com","(0280)372498","","9233890","100018224","1969-09-01","Средње стручне школе","Државно","13","0","0","68","27","0","0","0","49","33.362500","64","47.662500"
"410.","1774","Ранилуг","Косовско-поморавски управни округ","Витина","Врбовац","Техничка школа","Димитријева ББ","38267","tsvrbovac@gmail.com","(0280)381017","http://nema.com","9001743","101920333","2004-01-21","Средње стручне школе","Државно","9","0","0","88","41","0","0","0","43","20.268700","59","34.688700"
"411.","1775","Косовска Митровица","Призренски управни округ","Гора","Драгаш","Економско-трговинска школа","Село Млике бб","38420","etsgora@hotmail.com","(044)400827","http://www.etsgora.edu.rs","9004599","104757876","2006-12-26","Средње стручне школе","Државно","13","0","0","154","72","0","0","0","23","25.187300","29","32.187300"
"412.","1776","Косовска Митровица","Призренски управни округ","Ораховац","Ораховац","Гимназија Ораховац","Видовданска бб","38430","gimnazijaorahovac1@gmail.com","(029)277919","http://gimnazijaorahovac.com","9011587","101940268","2003-09-02","Гимназије","Државно","2","0","0","12","5","0","0","0","13","4.794400","20","10.744400"
"413.","1777","Косовска Митровица","Пећки управни округ","Пећ","Гораждевац","Гимназија","Гораждевац ББ","38310","skolagorazdevac@hotmail.com","39467313","http://","9047891","101942069","1999-09-13","Гимназије","Државно","7","0","0","17","9","1","0","0","31","14.783000","42","24.783000"
"414.","1778","Косовска Митровица","Пећки управни округ","Пећ","Гораждевац","Економска школа","Гораждевац","38310","skolagorazdevac@hotmail.com","39467313","http://","9047891","","","Средње стручне школе","Државно","3","0","0","5","1","0","0","0","12","4.249000","12","4.249000"
"415.","1780","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Геодетска техничка школа","Милана Ракића 42","11000","geodetskaskola@sbb.rs","(011)2411880","http://geodetska.edu.rs","7004826","101721861","1973-12-19","Средње стручне школе","Државно","19","0","0","512","195","0","0","0","51","45.012200","64","59.112200"
"416.","1781","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Економска школа","Радоја Домановића 6","34000","ekonomkrag@verat.net","(034)332428","https://www.ekonomska.edu.rs","7150105","101319991","1943-11-09","Средње стручне школе","Државно","20","0","0","617","460","2","2","0","52","41.719100","65","54.719100"
"417.","1782","Ваљево","Колубарски управни округ","Уб","Уб","Техничка школа Уб","Вука Караџића 15","14210","skolaub@mts.rs","(014)411149","http://www.srednjaub.rs","7258135","101351130","1977-12-14","Средње стручне школе","Државно","22","6","0","580","256","4","1","0","61","40.400000","74","53.370000"
"418.","1784","Ужице","Златиборски управни округ","Ужице - град","Ужице","Уметничка школа","Велики парк 3","31000","eduart@mts.rs","(031)513095","http://www.umetnicka-skola-uzice.edu.rs","17434900","101503549","2002-04-25","Средње стручне школе","Државно","7","6","0","92","68","0","0","0","32","18.646000","38","25.746000"
"419.","1786","Зрењанин","Севернобанатски управни округ","Сента","Сента","Средња медицинска школа","Главни трг 12","24400","medicinska_senta@mts.rs","(024)817177","http://www.medicinska-senta.edu.rs","8791414","102975494","2003-04-22","Средње стручне школе","Државно","12","0","0","317","251","0","0","0","59","32.811200","68","41.811200"
"420.","1787","Крушевац","Расински управни округ","Брус","Брус","Средња школа","Братиславе Петровић 69","37220","srskolabrus@mts.rs","(037)825167","http://www.skolabrus.edu.rs","17501321","102898072","1963-03-29","Средње стручне школе","Државно","19","3","0","406","227","1","4","0","47","36.225600","61","52.325600"
"421.","1789","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Медицинска школа","Косанчићева бб","36300","msnp@verat.net","(020)332980","http://www.medicinskanp.edu.rs","17686518","105175950","2007-04-19","Средње стручне школе","Државно","25","0","0","860","620","0","0","0","80","60.995000","98","78.495000"
"422.","1790","Крагујевац","Шумадијски управни округ","Кнић","Кнић","Средња школа","Кнић бб","34240","msknic@mts.rs","34511063","http://www.srednjaskolaknic.info","7124686","100819880","1960-12-17","Средње стручне школе","Државно","8","0","0","178","100","2","1","0","27","16.041400","36","26.041400"
"423.","1792","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Спортска гимназија","Херцега Стјепана 7","11000","sportskagimnazija@yahoo.com","(011)2650754","https://www.sportskagimnazija.edu.rs","17411349","100124773","2002-04-25","Гимназије","Државно","24","0","0","752","289","0","0","0","59","44.061100","75","60.561100"
"424.","1793","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Седма београдска гимназија","Шејкина 21а","11160","info@sedmagimnazija.com","7433642","http://www.sedmagimnazija.com","17409336","100032938","2002-04-24","Гимназије","Државно","26","0","0","738","402","1","3","0","57","47.563300","74","64.923300"
"425.","1794","Зрењанин","Севернобанатски управни округ","Сента","Сента","Гимназија са домом ученика за талентоване ученике Бољаи","Поштанска 18","24400","bolyai@bolyai-zenta.edu.rs","(024)816700","http://www.bolyai-zenta.edu.rs","8787271","102923123","2003-04-22","Средње стручне школе","Државно","9","0","0","166","99","0","0","0","41","25.449000","61","50.949000"
"426.","1796","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Гимназија за талентоване ученике Деже Костолањи","Трг жртава фашизма 21","24000","office@tg.edu.rs","(024)670860","http://www.tg.edu.rs","8787280","102879350","2003-04-22","Гимназије","Државно","12","0","0","267","192","0","0","0","42","32.354200","51","43.354200"
"427.","1797","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Фармацеутско - физиотерапеутска школа","Донска 27-29","11000","farmafizio@sbb.rs","(011)3047814","http://www.farmafizio.edu.rs","17482076","102830030","2003-04-10","Средње стручне школе","Државно","27","0","0","796","606","0","8","0","84","74.350000","101","92.750000"
"428.","1798","Чачак","Моравички управни округ","Чачак - град","Чачак","Прехрамбено-угоститељска школа","Стоје Тошић 23","32000","direktor@prehrambeno-ugostiteljska.edu.rs","(032)334901","http://prehrambeno-ugostiteljska.edu.rs","17502735","102932664","2003-04-10","Средње стручне школе","Државно","24","4","0","720","435","12","7","0","71","56.835000","87","75.160000"
"429.","1799","Косовска Митровица","Косовски управни округ","Приштина - град","Лапље Село","Економско-трговинска школа Приштина","Мирјана Драговић бб","38204","et_skola_pristina@yahoo.com","3881627","","9018387","101262757","1961-05-28","Средње стручне школе","Државно","16","0","0","237","150","0","0","0","54","33.837300","66","45.587300"
"430.","1804","Косовска Митровица","Косовско-митровачки управни округ","Србица","Суво Грло","Техничка школа","Суво Грло бб","38334","ts_srbica@yahoo.com","(064)3360391","","9020772","102475377","1994-06-06","Средње стручне школе","Државно","3","0","0","10","6","0","0","0","14","6.518100","25","16.620300"
