"#","ИД установе","Универзитет","Назив установе","Тип установе","ИД програма","Назив програма","Звање","Поље","Ниво","Школарина за домаће студенте","Школарина за стране студенте","Број ЕСПБ бодова","Број решења акредитације","Датум решења акредитације","Акредитациона квота","Број буџетских студената - прва година","Број буџетских студената - друга година","Број буџетских студената - трећа година","Број буџетских студената - четврта година","Број буџетских студената - пета година","Број буџетских студената - шеста година","Број самофинансирајући студената - прва година","Број самофинансирајући студената - друга година","Број самофинансирајући студената - трећа година","Број самофинансирајући студената - четврта година","Број самофинансирајући студената - пета година","Број самофинансирајући студената - шеста година","Број страних студената - прва година","Број страних студената - друга година","Број страних студената - трећа година","Број страних студената - четврта година","Број страних студената - пета година","Број страних студената - шеста година","Број свршених студената током претходне школске године","Број пријављених кандидата на упису у наредну школску годину - I рок","Број пријављених кандидата на упису у наредну школску годину - II рок"
"1366.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1663","Електронско пословање и управљање системима - мастер - акредитоване 2009.","Мастер инжењер организационих наука","Техничко-технолошке науке","Мастер академске","0","0","60","612-00-746/2008-04","2009-01-09","0","0","","","","","","0","","","","","","0","","","","","","0","0","0"
"1367.","29","Универзитет у Београду","Технолошко-металуршки факултет","Државни факултет","1664","Металуршко инжењерство","Доктор наука металуршко инжењерство","Техничко-технолошке науке","Докторске академске","99000","10000","180","612-00-02711/2013-04","2014-07-04","5","1","0","1","","","","0","2","3","","","","0","0","1","","","","2","1","0"
"1368.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1665","Међународно пословање и менаџмент - мастер - акредитоване 2011.","Мастер менаџер","Техничко-технолошке науке","Мастер академске","509268","4893","90","612-00-00816/2016-06","2016-09-30","25","0","","","","","","12","","","","","","0","","","","","","29","14","0"
"1369.","29","Универзитет у Београду","Технолошко-металуршки факултет","Државни факултет","1666","Текстилно инжењерство","Доктор наука технолошко инжењерство","Техничко-технолошке науке","Докторске академске","99000","10000","180","612-00-02711/2013-04","2014-07-04","5","1","0","1","","","","1","0","7","","","","0","0","0","","","","0","2","0"
"1370.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1667","Менаџмент у управи - мастер - 60 ЕСПБ - акредитоване 2012.","Мастер менаџер","Друштвено-хуманистичке науке","Мастер академске","310000","3550","60","612-00-437/2009-04","2012-03-09","27","0","","","","","","26","","","","","","5","","","","","","19","22","4"
"1371.","29","Универзитет у Београду","Технолошко-металуршки факултет","Државни факултет","1668","Хемија","Доктор наука - хемијске науке","Техничко-технолошке науке","Докторске академске","99000","10000","180","612-00-02711/2013-04","2014-07-04","10","2","1","2","","","","0","3","17","","","","0","0","2","","","","7","2","0"
"1372.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1669","Менаџмент у управи - мастер - 120 ЕСПБ - акредитоване 2012.","Мастер менаџер","Друштвено-хуманистичке науке","Мастер академске","310000","3550","120","612-00-437/2009-04","2012-03-09","27","0","","","","","","3","","","","","","0","","","","","","0","3","1"
"1373.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1670","Менаџмент и информациони системи - специјалистичке академске студије - акредитоване 2014.","Специјалиста инжењер организационих наука","Техничко-технолошке науке","Спец. академске","204000","3000","60","612-00-00168/2014-04","2014-07-04","25","0","","","","","","26","","","","","","0","","","","","","12","23","5"
"1374.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1671","Организационе науке - специјалистичке академске студије - акредитоване 2009.","Специјалиста инжењер организационих наука","Техничко-технолошке науке","Спец. академске","198000","3","60","","","","0","","","","","","2","","","","","","0","","","","","","0","",""
"1375.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1672","Менаџмент - специјалистичке академске студије - акредитоване 2009.","Специјалиста менаџер","Техничко-технолошке науке","Спец. академске","0","0","60","000","2019-03-05","0","0","","","","","","0","","","","","","0","","","","","","0","0","0"
"1376.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1673","Менаџмент - специјалистичке струковне студије - акредитоване 2009.","Специјалиста струковни менаџер","Техничко-технолошке науке","Спец. струковне","151000","3000","60","","","","0","","","","","","5","","","","","","0","","","","","","0","",""
"1377.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1674","Информациони системи и технологије - основне академске студије - акредитоване 2014.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","138000","2000","240","612-00-0168/2014-04","2014-05-09","390","198","219","261","328","","","293","190","108","93","","","2","1","3","0","","","121","1904","0"
"1378.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1675","Информациони системи и технологије - студије на даљину - акредитоване 2014.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","156000","2000","240","612-00-01915/2014-04","2014-10-24","100","5","24","22","32","","","160","76","25","8","","","0","0","0","0","","","5","1455","0"
"1379.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1676","Менаџмент и организација - основне академске - акредитоване 2014.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","138000","2000","240","612-00-0168/2014-04","2016-05-05","330","192","173","201","248","","","233","161","87","106","","","0","0","2","2","","","108","1604","0"
"1380.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1677","Информациони системи и технологије - основне академске студије - акредитоване 2009.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","138000","2000","240","612-00-746/2008-04","2009-01-09","330","0","0","0","3","","","4","12","39","411","","","0","0","2","1","","","169","0","0"
"1381.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1678","Информациони системи и технологије - студије на даљину - акредитоване 2009.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","156000","2500","240","612-00-437/2009-04","2010-07-09","80","0","0","0","0","","","6","8","9","42","","","0","0","0","0","","","2","0","0"
"1382.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1679","Менаџмент и организација - основне академске - акредитоване 2009.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","138000","2000","240","612-00-746/2008-04","2009-01-09","330","0","0","0","4","","","7","14","24","310","","","0","0","0","0","","","182","0","0"
"1383.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1680","Информациони системи и технологије - основне академске - акредитоване 2006.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","72000","500","240","0","2006-10-02","0","","","","0","","","","","","1","","","","","","0","","","49","0","0"
"1384.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1681","Менаџмент и организација - основне академске - акредитоване 2006.","Дипломирани инжењер организационих наука","Техничко-технолошке науке","Основне академске","72000","500","240","0","2006-10-02","0","","","","0","","","","","","1","","","","","","0","","","69","0","0"
"1385.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1682","Информациони системи и менаџмент - докторске - акредитоване 2009.","Доктор наука организационе науке","Техничко-технолошке науке","Докторске академске","280000","5000","180","612-00-00034/346/2013-04","2013-11-08","50","0","4","3","","","","0","22","52","","","","0","0","1","","","","7","0","0"
"1386.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1683","Информациони системи и квантитативни менаџмент - докторске - акредитоване 2014.","Доктор наука организационе науке","Техничко-технолошке науке","Докторске академске","288000","5000","180","612-00-00168/2014-04","2014-07-04","36","5","6","4","","","","19","58","27","","","","0","0","2","","","","4","27","2"
"1387.","10","Универзитет у Београду","Факултет организационих наука","Државни факултет","1684","Менаџмент - докторске - акредитоване 2014.","Доктор наука менаџмент и бизнис","Техничко-технолошке науке","Докторске академске","288000","5000","180","612-00-00168/2014-04","2014-04-09","27","1","0","1","","","","18","37","5","","","","1","1","0","","","","0","9","8"
"1388.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1686","Српски језик и књижевност","Дипломирани филолог србиста - српски језик и књижевност","Друштвено-хуманистичке науке","Основне академске","60000","500","240","612-00-02688/2013-04","2015-04-03","60","35","33","35","50","","","15","11","19","83","","","0","0","0","0","","","12","18","3"
"1389.","98","","Висока школа струковних студија за васпитаче, Гњилане у Бујановцу","Државна висока школа","1226","Образовање васпитача за рад у предшколској установи","Струковни васпитач","Друштвено-хуманистичке науке","Основне струковне","45000","1000","180","612-00-00136/2012-04","2012-04-27","100","60","54","42","","","","4","2","2","","","","0","0","0","","","","0","47",""
"1390.","98","","Висока школа струковних студија за васпитаче, Гњилане у Бујановцу","Државна висока школа","1232","Образовање васпитача у домовима","Струковни васпитач","Друштвено-хуманистичке науке","Основне струковне","45000","1000","180","612-00-00971/2013-04","2013-06-28","30","10","11","","","","","0","0","","","","","0","0","","","","","0","7",""
"1391.","98","","Висока школа струковних студија за васпитаче, Гњилане у Бујановцу","Државна висока школа","1235","Припремни предшколски програм","Специјалиста струковни васпитач","Друштвено-хуманистичке науке","Спец. струковне","60000","1000","60","","","","0","","","","","","25","","","","","","0","","","","","","67","",""
"1392.","106","","В.грађевинско-геодетска ш.струковних студија, Београд","Државна висока школа","1262","Менаџмент у грађевинарству","Специјалиста струковни инжењер грађевинарства","Техничко-технолошке науке","Спец. струковне","108000","1700","60","612-00-02352/2013-04","2014-01-17","","0","","","","","","30","","","","","","0","","","","","","24","",""
"1393.","106","","В.грађевинско-геодетска ш.струковних студија, Београд","Државна висока школа","1263","Катастар непокретности и катастар водова","Специјалиста струковни инжењер геодезије","Техничко-технолошке науке","Спец. струковне","108000","1700","60","612-00-02352/2013-04","2014-01-17","","0","","","","","","30","","","","","","0","","","","","","26","",""
"1394.","107","","Висока ш.ликов.и примењ.уметности струк. студија, Београд","Државна висока школа","1272","Графички дизајн","Струковни дизајнер","Уметност","Основне струковне","96000","1283","180","612-00-472/2008-04","2008-04-22","15","10","11","10","0","0","0","5","4","4","0","0","0","0","0","0","0","0","0","19","35","0"
"1395.","107","","Висока ш.ликов.и примењ.уметности струк. студија, Београд","Државна висока школа","1274","Дизајн ентеријера","Струковни дизајнер","Уметност","Основне струковне","96000","1283","180","612-00-472/2008-04","2008-04-22","15","10","11","10","0","0","0","4","2","8","0","0","0","1","0","0","0","0","0","11","11","0"
"1396.","107","","Висока ш.ликов.и примењ.уметности струк. студија, Београд","Државна висока школа","1276","Медији слике","Струковни ликовни уметник","Уметност","Основне струковне","96000","1283","180","612-00-02593/2013-04","2014-10-09","15","10","11","12","0","0","0","5","5","7","0","0","0","0","0","0","0","0","0","7","14","0"
"1397.","138","","Висока школа струковних студија за образовање васпитача - Сремска Митровица","Државна висока школа","1769","Студије на даљину-DLS","Струковни васпитач","Друштвено-хуманистичке науке","Основне струковне","50000","0","180","612-00-00246/2013-04","2014-05-09","30","","","","","","","","","","","","","","","","","","","0","16","19"
"1398.","122","","Висока хотелијерска школа струковних студија, Београд","Државна висока школа","1284","Хотелијерство","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","70000","1500","180","612-00-00180/2014-04","27.04.2012.","150","35","42","42","","","","115","98","68","","","","0","0","0","","","","62","154","19"
"1399.","122","","Висока хотелијерска школа струковних студија, Београд","Државна висока школа","1285","Ресторатерство","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","75000","2000","180","612-00-00180/2014-04","27.04.2012.","60","20","26","35","","","","40","22","12","","","","0","0","0","","","","28","24","14"
"1400.","122","","Висока хотелијерска школа струковних студија, Београд","Државна висока школа","1286","Гастрономија","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","90000","2500","180","612-00-00180/2014-04","27.04.2012.","150","35","42","42","","","","115","111","75","","","","0","0","0","","","","37","68","36"
"1401.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","2228","Банкарско и берзанско пословање 17","Специјалиста струковни економиста","Друштвено-хуманистичке науке","Спец. струковне","65000","1380","60","612-00-03417/2016-06","2017-05-05","50","","","","","","","","","","","","","","","","","","","0","10","0"
"1402.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","2227","Предузетништво 17","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","60000","1175","180","612-00-034118/2016-06","2017-05-05","80","","","","","","","","","","","","","","","","","","","0","15","24"
"1403.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","2226","Туризам и хотелијерство 17","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","69000","1175","180","612-00-03421/2016-06","2017-05-05","120","","","","","","","","","","","","","","","","","","","0","101","0"
"1404.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1409","Железнички саобраћај","Струковни инжењер саобраћаја","Техничко-технолошке науке","Основне струковне","80000","1200","180","612-00-03451/2016-06","2017-11-10","60","40","24","20","","","","14","3","6","","","","1","2","0","","","","25","11","11"
"1405.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1410","Железничко машинство","Струковни инжењер машинства","Техничко-технолошке науке","Основне струковне","80000","1200","180","612-00-03451/2016-06","2017-04-21","30","20","5","11","","","","3","1","2","","","","0","0","0","","","","11","3","1"
"1406.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1411","Електротехника у саобраћају","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","80000","1200","180","612-00-03451/2016-06","2017-07-14","30","20","17","11","","","","10","3","3","","","","0","0","0","","","","9","13","3"
"1407.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1412","Железничко грађевинарство","Струковни инжењер грађевинарства","Техничко-технолошке науке","Основне струковне","80000","1200","180","612-00-03451/2016-06","2017-10-27","0","12","7","3","","","","0","0","0","","","","0","0","0","","","","5","0","0"
"1408.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1413","Комерцијално пословање железнице","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","80000","1200","180","612-00-02179/2011-04","27.04.2012.","50","41","30","36","","","","20","2","2","","","","0","0","0","","","","22","20","15"
"1409.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1414","Јавни градски и индустријски саобраћај","Струковни инжењер саобраћаја","Техничко-технолошке науке","Основне струковне","80000","1200","180","612-00-00896/2016-06","2016-11-04","40","20","6","12","","","","7","3","1","","","","0","0","1","","","","6","9","3"
"1410.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1415","Инжењерство заштите животне средине у саобраћају","Струковни инжењер заштите животне средине","Техничко-технолошке науке","Основне струковне","80000","1200","180","612-00-00896/2016-06","2016-11-04","0","20","5","8","","","","1","2","0","","","","0","0","0","","","","9","0","0"
"1411.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1416","Железнички саобраћај","Специјалиста струковни инжењер саобраћаја","Техничко-технолошке науке","Спец. струковне","100000","1200","60","612-00-00680/2014-04","23.05.2014.","","0","","","","","","12","","","","","","2","","","","","","14","",""
"1412.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1417","Железничко машинство","Специјалиста струковни инжењер машинства","Техничко-технолошке науке","Спец. струковне","100000","1200","60","612-00-00680/2014-04","23.05.2014.","16","0","","","","","","9","","","","","","0","","","","","","5","0","2"
"1413.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1418","Електротехника у саобраћају","Специјалиста струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Спец. струковне","100000","1200","60","612-00-00680/2014-04","23.05.2014.","","0","","","","","","2","","","","","","0","","","","","","1","",""
"1414.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1419","Железничко грађевинарство","Специјалиста струковни инжењер грађевинарства","Техничко-технолошке науке","Спец. струковне","100000","1200","66","612-00-02179/2011-04","27.04.2012.","","0","","","","","","4","","","","","","0","","","","","","0","",""
"1415.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1420","Комерцијално пословање железнице","Специјалиста струковни економиста","Техничко-технолошке науке","Спец. струковне","100000","1200","60","612-00-00680/2014-04","23.05.2014.","","0","","","","","","3","","","","","","0","","","","","","0","",""
"1416.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1421","Јавни градски и индустријски саобраћај","Специјалиста инжењер саобраћаја","Техничко-технолошке науке","Спец. струковне","100000","1200","66","612-00-02179/2011-04","27.04.2012.","","0","","","","","","9","","","","","","0","","","","","","4","",""
"1417.","131","","Висока железничка школа струковних студија, Београд","Државна висока школа","1423","Заштита животне средине и енергетска ефикасност","Специјалиста струковни инжењер заштите животне средине","Техничко-технолошке науке","Спец. струковне","100000","1200","60","612-00-00680/2014-04","23.05.2014.","","0","","","","","","5","","","","","","0","","","","","","0","",""
"1418.","122","","Висока хотелијерска школа струковних студија, Београд","Државна висока школа","1427","Менаџмент у угоститељству","Специјалиста струковни менаџер","Друштвено-хуманистичке науке","Спец. струковне","120000","2000","60","","","","0","","","","","","45","","","","","","0","","","","","","0","",""
"1419.","110","","Висока здравствена школа струковних студија Београд","Државна висока школа","1474","СПЕЦИЈАЛИСТА СТРУКОВНИ НУТРИЦИОНИСТА ДИЈЕТЕТИЧАР-ОБЛАСТ ЈАВНО ЗДРАВЉЕ","Специјалиста струковни нутрициониста дијететичар - област Јавно здравље","Медицинске науке","Спец. струковне","120000","2000","60","612-00-03482/2016-06","2015-06-05","24","0","0","0","","","","26","0","0","","","","0","0","","","","","16","0",""
"1420.","135","","Висока школа струковних студија за васпитаче, Шабац","Државна висока школа","1475","Образовање струковних васпитача предшколске деце","Струковни васпитач","Друштвено-хуманистичке науке","Основне струковне","60000","1000","180","612-00-00157/2012-04","2012-04-27","0","0","80","98","0","0","0","0","45","21","0","0","0","0","0","0","0","0","0","97","0","0"
"1421.","135","","Висока школа струковних студија за васпитаче, Шабац","Државна висока школа","1476","Струковни васпитач деце јасленог узраста","Струковни васпитач","Друштвено-хуманистичке науке","Основне струковне","60000","1000","180","612-00-01116/2012-04","2012-10-26","0","0","9","10","0","0","0","0","15","17","0","0","0","0","0","0","0","0","0","18","0","0"
"1422.","135","","Висока школа струковних студија за васпитаче, Шабац","Државна висока школа","1478","Образовање струковних васпитача - специјалиста за методику реализације припремног предшколског програма","Специјалиста струковни васпитач","Друштвено-хуманистичке науке","Спец. струковне","70000","1000","60","612-00-00045/2014-04","2015-02-20","50","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","17","7","0"
"1423.","135","","Висока школа струковних студија за васпитаче, Шабац","Државна висока школа","1479","Образовање струковних васпитача-специјалиста за музичко-сценски израз","Специјалиста струковни васпитач","Друштвено-хуманистичке науке","Спец. струковне","70000","1000","60","612-00-00044/2014-04","2015-02-20","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","7","0","0"
"1424.","135","","Висока школа струковних студија за васпитаче, Шабац","Државна висока школа","1481","Образовање струковних васпитача-специјалиста за ликовно васпитање","Специјалиста струковни васпитач","Друштвено-хуманистичке науке","Спец. струковне","70000","1000","60","612-00-00043/2014-04","2015-02-20","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"1425.","101","","Висока техничка школа струковних студија Звечан","Државна висока школа","2326","Mултимедијалне технологије","Специјалиста струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Спец. струковне","66000","1000","60","612-00-00853/2017-06","2018-02-02","32","","","","","","","12","","","","","","","","","","","","0","0","0"
"1426.","244","","Висока школа струковних студија за менаџмент и пословне комуникације - Сремски Карловци","Државна висока школа","2218","Примењена информатика","Струковни информатичар","Природно-математичке науке","Основне струковне","95000","800","180","612-00-00675/2016-06","2017-02-10","27","","","","","","","3","3","4","","","","","","","","","","0","0","4"
"1427.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1687","Француски језик и књижевност","Дипломирани филолог - романиста","Друштвено-хуманистичке науке","Основне академске","60000","500","240","612-00-02688/2013-04","2015-04-03","30","15","17","15","19","","","2","8","2","12","","","0","0","0","0","","","16","15","1"
"1428.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1688","Италијански језик и књижевност","Дипломирани филолог - романиста","Друштвено-хуманистичке науке","Основне академске","75000","2000","240","612-00-00329/2012-04","2014-10-24","30","7","14","9","","","","18","3","1","","","","0","0","0","","","","7","21","2"
"1429.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1689","Шпански језик и хиспанске књижевности","Дипломирани филолог - романиста","Друштвено-хуманистичке науке","Основне академске","75000","700","240","612-00-02688/2013-04","2015-03-20","30","20","19","25","25","","","13","4","3","13","","","0","0","0","0","","","21","26","2"
"1430.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1690","Немачки језик и књижевност","Дипломирани филолог - германиста","Друштвено-хуманистичке науке","Основне академске","75000","700","240","612-00-02688/2013-04","2016-05-29","30","22","19","17","19","","","13","9","21","33","","","0","0","0","0","","","13","36","3"
"1431.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1691","Енглески језик и књижевност","Дипломирани филолог - англиста","Друштвено-хуманистичке науке","Основне академске","75000","700","240","612-00-02688/2013-04","2014-11-14","75","45","33","42","87","","","43","28","13","26","","","0","0","0","0","","","30","113","0"
"1432.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1692","Српски језик и књижевност","Мастер професор језика и књижевности (србиста)","Друштвено-хуманистичке науке","Мастер академске","120000","1000","60","612-00-02688/2013-04","2015-04-17","50","21","","","","","","17","","","","","","0","","","","","","16","18","1"
"1433.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1693","Француски језик и књижевност","Мастер филолог - романиста","Друштвено-хуманистичке науке","Мастер академске","120000","1000","60","612-00-02688/2013-04","2015-04-17","25","12","","","","","","26","","","","","","0","","","","","","6","10","0"
"1434.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1694","Шпански језик и хиспанске књижевности","Мастер филолог - романиста","Друштвено-хуманистичке науке","Мастер академске","120000","1000","60","612-00-2044/2009-04","2009-02-24","25","12","","","","","","20","","","","","","0","","","","","","8","13","0"
"1435.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1695","Немачки језик и књижевност","Мастер професор немачког језика и књижевности","Друштвено-хуманистичке науке","Мастер академске","120000","1000","60","612-00-2044/2009-04","2012-02-24","25","10","","","","","","12","","","","","","0","","","","","","5","8","0"
"1436.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1696","Енглески језик и књижевност","Мастер филолог - англиста","Друштвено-хуманистичке науке","Мастер академске","120000","1000","60","612-00-02688/2013-04","2016-11-14","40","23","","","","","","35","","","","","","0","","","","","","21","16","1"
"1437.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1698","Докторске студије из филологије (језик и књижевност)","Доктор наука – класичне науке","Друштвено-хуманистичке науке","Докторске академске","190000","1600","180","612-00-00322/2015-04","2015-12-04","28","3","4","6","","","","3","4","2","","","","0","0","0","","","","12","5","2"
"1438.","49","Универзитет у Нишу","Природно-математички факултет","Државни факултет","1704","ОАС Биологија","Биолог","Природно-математичке науке","Основне академске","75000","622","180","612-00-02493/2013-04","2014-06-13","60","59","25","50","","","","0","28","71","","","","0","0","0","","","","49","42","0"
"1439.","49","Универзитет у Нишу","Природно-математички факултет","Државни факултет","1709","ОАС Географија","Географ","Природно-математичке науке","Основне академске","75000","622","180","612-00-02493/2013-04","2014-07-04","54","54","22","59","","","","0","21","64","","","","0","0","0","","","","52","34","0"
"1440.","44","Универзитет у Крагујевцу","Музички и примењене уметности","Државни факултет","1707","Музика у медијима","Дипломирани музички уметник","Уметност","Основне академске","130000","1200","240","612-00-1442/2008-04","2009-05-29","9","5","8","6","10","","","4","1","1","8","","","0","0","0","0","","","3","11","0"
"1441.","44","Универзитет у Крагујевцу","Музички и примењене уметности","Државни факултет","1712","Музика у медијима","Мастер музички уметник","Уметност","Мастер академске","120000","2000","60","612-00-1442/2008-04","2010-11-12","5","2","","","","","","7","","","","","","0","","","","","","2","4","0"
"1442.","146","Универзитет у Београду","Ректорат","Државни факултет","1790","Биофотоника","Доктор наука биотехничке науке","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","160000","4000","180","612-00-00712/2015-06","2015-06-19","10","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"1443.","146","Универзитет у Београду","Ректорат","Државни факултет","1791","Интелигентни системи","Доктор наука – рачунарске науке","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","160000","4000","180","612-00-01403/2014-04","2015-02-06","20","3","0","2","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","0","5","1"
"1444.","6","Универзитет у Београду","Фармацеутски факултет","Државни факултет","1792","2015 Фармација енглески","Магистар фармације","Медицинске науке","Интегр. академске","145000","3500","300","612-00-00729/2013-04","07.06.2013.","5","0","","","","","","1","3","2","","","","5","4","","","","","0","0","0"
"1445.","81","Универзитет у Приштини","Природно-математички факултет, Косовска Митровица","Државни факултет","1793","Информатика","Мастер информатичар","Природно-математичке науке","Мастер академске","65000","1200","60","612-00-01154/2017-06","2017-10-13","25","5","","","","","","14","","","","","","","","","","","","12","13","6"
"1446.","53","Универзитет у Нишу","Медицински факултет","Државни факултет","1719","Универзитет у Нишу Mедицински факултет Ниш - Молекуларна медицина","Доктор медицинских наука","Медицинске науке","Докторске академске","120000","2500","240","612-00-01433/17/2007-04","2008-05-19","20","","","","","","","","","","","","","","","","","","","4","0","0"
"1447.","44","Универзитет у Крагујевцу","Музички и примењене уметности","Државни факултет","1721","Графички дизајн","Дипломирани дизајнер","Уметност","Основне академске","150000","1500","240","612-00-02688/2013-04","2016-05-13","14","9","13","14","19","","","6","0","0","5","","","0","0","0","0","","","13","21","0"
"1448.","44","Универзитет у Крагујевцу","Музички и примењене уметности","Државни факултет","1725","Зидно сликарство","Дипломирани примењени уметник","Уметност","Основне академске","150000","2000","240","612-00-1442/2008-04","2009-05-15","","7","12","13","8","","","6","0","3","3","","","0","0","0","0","","","13","",""
"1449.","53","Универзитет у Нишу","Медицински факултет","Државни факултет","1726","Универзитет у Нишу Mедицински факултет Ниш - Базична истраживања у стоматологији","Доктор медицинских наука стоматологија","Медицинске науке","Докторске академске","120000","2500","240","612-00-01433/20/2007-04","2008-05-19","5","","","","","","","","","","","","","","","","","","","0","0","0"
"1450.","44","Универзитет у Крагујевцу","Музички и примењене уметности","Државни факултет","1727","Унутрашња архитектура","Дипломирани примењени уметник","Уметност","Основне академске","150000","1500","240","612-00-02688/2013-04","2016-09-02","13","7","7","12","8","","","5","0","4","3","","","0","0","0","0","","","3","11","3"
"1451.","44","Универзитет у Крагујевцу","Музички и примењене уметности","Државни факултет","1728","Графички дизајн","Мастер примењени уметник","Уметност","Мастер академске","120000","1000","60","612-00-02688/2013-04","2016-04-08","10","5","","","","","","7","","","","","","0","","","","","","2","4","0"
"1452.","38","Универзитет у Крагујевцу","Природно-математички факултет","Државни факултет","1733","Биологија-Молекуларна биологија","Мастер биолог","Природно-математичке науке","Мастер академске","96000","2500","60","612-00-00084/2015-04","2015-06-05","20","5","","","","","","4","","","","","","0","","","","","","0","5","0"
